datetime,Speed,Direction
2021-03-20 00:00:00,7.1,313.0
2021-03-20 00:06:00,6.8,324.0
2021-03-20 00:12:00,7.2,313.0
2021-03-20 00:18:00,8.2,318.0
2021-03-20 00:24:00,6.9,318.0
2021-03-20 00:30:00,7.7,323.0
2021-03-20 00:36:00,8.4,326.0
2021-03-20 00:42:00,8.7,317.0
2021-03-20 00:48:00,8.3,319.0
2021-03-20 00:54:00,7.7,323.0
2021-03-20 01:00:00,,
2021-03-20 01:06:00,7.4,321.0
2021-03-20 01:12:00,7.7,333.0
2021-03-20 01:18:00,7.5,329.0
2021-03-20 01:24:00,7.4,342.0
2021-03-20 01:30:00,7.9,353.0
2021-03-20 01:36:00,8.4,345.0
2021-03-20 01:42:00,7.2,334.0
2021-03-20 01:48:00,7.1,338.0
2021-03-20 01:54:00,6.9,333.0
2021-03-20 02:00:00,7.1,338.0
2021-03-20 02:06:00,6.6,341.0
2021-03-20 02:12:00,7.0,350.0
2021-03-20 02:18:00,6.4,350.0
2021-03-20 02:24:00,5.8,359.0
2021-03-20 02:30:00,5.5,346.0
2021-03-20 02:36:00,5.9,334.0
2021-03-20 02:42:00,6.3,341.0
2021-03-20 02:48:00,6.5,342.0
2021-03-20 02:54:00,7.3,346.0
2021-03-20 03:00:00,5.5,336.0
2021-03-20 03:06:00,6.3,349.0
2021-03-20 03:12:00,6.0,337.0
2021-03-20 03:18:00,5.4,333.0
2021-03-20 03:24:00,5.2,333.0
2021-03-20 03:30:00,6.2,335.0
2021-03-20 03:36:00,5.5,333.0
2021-03-20 03:42:00,5.9,338.0
2021-03-20 03:48:00,5.7,337.0
2021-03-20 03:54:00,5.7,345.0
2021-03-20 04:00:00,5.4,342.0
2021-03-20 04:06:00,5.9,340.0
2021-03-20 04:12:00,6.1,343.0
2021-03-20 04:18:00,6.1,350.0
2021-03-20 04:24:00,6.7,347.0
2021-03-20 04:30:00,6.6,351.0
2021-03-20 04:36:00,6.7,342.0
2021-03-20 04:42:00,7.1,350.0
2021-03-20 04:48:00,6.7,342.0
2021-03-20 04:54:00,6.5,344.0
2021-03-20 05:00:00,6.7,346.0
2021-03-20 05:06:00,6.7,352.0
2021-03-20 05:12:00,6.6,347.0
2021-03-20 05:18:00,6.0,354.0
2021-03-20 05:24:00,6.2,345.0
2021-03-20 05:30:00,6.0,357.0
2021-03-20 05:36:00,5.9,355.0
2021-03-20 05:42:00,6.1,352.0
2021-03-20 05:48:00,5.5,343.0
2021-03-20 05:54:00,5.0,353.0
2021-03-20 06:00:00,5.3,356.0
2021-03-20 06:06:00,5.3,354.0
2021-03-20 06:12:00,6.4,347.0
2021-03-20 06:18:00,6.9,346.0
2021-03-20 06:24:00,6.9,348.0
2021-03-20 06:30:00,6.6,347.0
2021-03-20 06:36:00,6.1,347.0
2021-03-20 06:42:00,5.6,353.0
2021-03-20 06:48:00,5.7,350.0
2021-03-20 06:54:00,5.7,341.0
2021-03-20 07:00:00,5.5,344.0
2021-03-20 07:06:00,5.9,339.0
2021-03-20 07:12:00,6.0,337.0
2021-03-20 07:18:00,6.0,349.0
2021-03-20 07:24:00,6.1,348.0
2021-03-20 07:30:00,6.2,355.0
2021-03-20 07:36:00,6.2,352.0
2021-03-20 07:42:00,6.4,348.0
2021-03-20 07:48:00,5.8,346.0
2021-03-20 07:54:00,5.4,347.0
2021-03-20 08:00:00,5.0,345.0
2021-03-20 08:06:00,4.1,329.0
2021-03-20 08:12:00,4.8,331.0
2021-03-20 08:18:00,5.3,340.0
2021-03-20 08:24:00,5.5,333.0
2021-03-20 08:30:00,6.0,338.0
2021-03-20 08:36:00,5.9,339.0
2021-03-20 08:42:00,5.9,338.0
2021-03-20 08:48:00,5.8,334.0
2021-03-20 08:54:00,5.9,340.0
2021-03-20 09:00:00,6.2,340.0
2021-03-20 09:06:00,6.3,332.0
2021-03-20 09:12:00,6.4,338.0
2021-03-20 09:18:00,6.1,342.0
2021-03-20 09:24:00,6.2,327.0
2021-03-20 09:30:00,6.1,333.0
2021-03-20 09:36:00,4.9,339.0
2021-03-20 09:42:00,5.1,338.0
2021-03-20 09:48:00,5.9,346.0
2021-03-20 09:54:00,5.9,338.0
2021-03-20 10:00:00,5.2,339.0
2021-03-20 10:06:00,5.4,343.0
2021-03-20 10:12:00,5.8,339.0
2021-03-20 10:18:00,5.5,333.0
2021-03-20 10:24:00,5.4,337.0
2021-03-20 10:30:00,5.2,337.0
2021-03-20 10:36:00,5.6,341.0
2021-03-20 10:42:00,5.3,338.0
2021-03-20 10:48:00,5.3,338.0
2021-03-20 10:54:00,5.0,342.0
2021-03-20 11:00:00,4.7,337.0
2021-03-20 11:06:00,5.1,333.0
2021-03-20 11:12:00,4.9,332.0
2021-03-20 11:18:00,5.6,339.0
2021-03-20 11:24:00,6.0,347.0
2021-03-20 11:30:00,6.1,350.0
2021-03-20 11:36:00,5.7,349.0
2021-03-20 11:42:00,5.7,348.0
2021-03-20 11:48:00,5.3,343.0
2021-03-20 11:54:00,5.9,350.0
2021-03-20 12:00:00,5.7,355.0
2021-03-20 12:06:00,5.5,347.0
2021-03-20 12:12:00,6.2,347.0
2021-03-20 12:18:00,5.8,351.0
2021-03-20 12:24:00,5.1,354.0
2021-03-20 12:30:00,5.1,345.0
2021-03-20 12:36:00,5.3,350.0
2021-03-20 12:42:00,5.3,349.0
2021-03-20 12:48:00,5.3,360.0
2021-03-20 12:54:00,5.3,357.0
2021-03-20 13:00:00,5.8,359.0
2021-03-20 13:06:00,5.8,354.0
2021-03-20 13:12:00,6.2,357.0
2021-03-20 13:18:00,6.4,3.0
2021-03-20 13:24:00,5.5,2.0
2021-03-20 13:30:00,5.8,356.0
2021-03-20 13:36:00,6.2,350.0
2021-03-20 13:42:00,5.9,355.0
2021-03-20 13:48:00,5.9,3.0
2021-03-20 13:54:00,5.9,3.0
2021-03-20 14:00:00,6.1,2.0
2021-03-20 14:06:00,6.4,355.0
2021-03-20 14:12:00,5.8,0.0
2021-03-20 14:18:00,5.7,359.0
2021-03-20 14:24:00,5.7,354.0
2021-03-20 14:30:00,5.4,354.0
2021-03-20 14:36:00,5.6,345.0
2021-03-20 14:42:00,5.4,352.0
2021-03-20 14:48:00,5.6,359.0
2021-03-20 14:54:00,5.4,352.0
2021-03-20 15:00:00,6.0,343.0
2021-03-20 15:06:00,6.2,349.0
2021-03-20 15:12:00,6.2,353.0
2021-03-20 15:18:00,6.3,347.0
2021-03-20 15:24:00,6.5,346.0
2021-03-20 15:30:00,6.3,342.0
2021-03-20 15:36:00,6.2,350.0
2021-03-20 15:42:00,6.4,348.0
2021-03-20 15:48:00,6.9,347.0
2021-03-20 15:54:00,5.7,349.0
2021-03-20 16:00:00,6.0,358.0
2021-03-20 16:06:00,5.7,3.0
2021-03-20 16:12:00,5.3,356.0
2021-03-20 16:18:00,5.8,356.0
2021-03-20 16:24:00,5.3,358.0
2021-03-20 16:30:00,5.6,349.0
2021-03-20 16:36:00,5.0,359.0
2021-03-20 16:42:00,5.4,360.0
2021-03-20 16:48:00,5.5,3.0
2021-03-20 16:54:00,5.4,7.0
2021-03-20 17:00:00,4.8,352.0
2021-03-20 17:06:00,4.4,358.0
2021-03-20 17:12:00,4.0,359.0
2021-03-20 17:18:00,4.4,4.0
2021-03-20 17:24:00,5.3,9.0
2021-03-20 17:30:00,5.2,10.0
2021-03-20 17:36:00,5.6,16.0
2021-03-20 17:42:00,4.6,16.0
2021-03-20 17:48:00,4.3,10.0
2021-03-20 17:54:00,4.8,6.0
2021-03-20 18:00:00,4.1,6.0
2021-03-20 18:06:00,3.9,360.0
2021-03-20 18:12:00,4.6,1.0
2021-03-20 18:18:00,3.5,12.0
2021-03-20 18:24:00,4.0,2.0
2021-03-20 18:30:00,3.4,355.0
2021-03-20 18:36:00,3.6,355.0
2021-03-20 18:42:00,3.0,3.0
2021-03-20 18:48:00,2.8,2.0
2021-03-20 18:54:00,3.6,11.0
2021-03-20 19:00:00,2.2,17.0
2021-03-20 19:06:00,2.7,344.0
2021-03-20 19:12:00,2.5,359.0
2021-03-20 19:18:00,3.1,352.0
2021-03-20 19:24:00,2.5,308.0
2021-03-20 19:30:00,3.1,300.0
2021-03-20 19:36:00,3.2,295.0
2021-03-20 19:42:00,3.4,297.0
2021-03-20 19:48:00,2.9,311.0
2021-03-20 19:54:00,2.5,293.0
2021-03-20 20:00:00,1.8,275.0
2021-03-20 20:06:00,1.9,278.0
2021-03-20 20:12:00,1.6,274.0
2021-03-20 20:18:00,2.4,274.0
2021-03-20 20:24:00,3.1,286.0
2021-03-20 20:30:00,2.7,287.0
2021-03-20 20:36:00,3.3,287.0
2021-03-20 20:42:00,3.1,290.0
2021-03-20 20:48:00,2.8,292.0
2021-03-20 20:54:00,3.8,299.0
2021-03-20 21:00:00,3.6,299.0
2021-03-20 21:06:00,3.7,290.0
2021-03-20 21:12:00,4.2,297.0
2021-03-20 21:18:00,4.3,306.0
2021-03-20 21:24:00,4.6,304.0
2021-03-20 21:30:00,4.8,301.0
2021-03-20 21:36:00,5.3,298.0
